,ResponseId,cue,num_resp,R1,R2,R3
41,R_2Y5qEF7tp48wAsz,ti ko pek,2,pervert,creeps,NA
42,R_2Y5qEF7tp48wAsz,tuang,I don't know this word,NA,NA,NA
43,R_2Y5qEF7tp48wAsz,twa kee,I don't know this word,NA,NA,NA
44,R_2Y5qEF7tp48wAsz,un,I recognise this word but cannot think of anything,NA,NA,NA
45,R_2Y5qEF7tp48wAsz,walau,I recognise this word but cannot think of anything,NA,NA,NA
46,R_2Y5qEF7tp48wAsz,xia suay,1,embarrassing,NA,NA
47,R_2Y5qEF7tp48wAsz,yandao,1,handsome,NA,NA
48,R_ZxHvGVSFQkHW12x,ah gua,1,man who acts like woman,NA,NA
49,R_ZxHvGVSFQkHW12x,ang pow,2,red packets during CNY,money,NA
50,R_ZxHvGVSFQkHW12x,belanja,2,pay for someone,free food,NA
51,R_ZxHvGVSFQkHW12x,bo jio,2,didn't invite someone,someone being left out,NA
52,R_ZxHvGVSFQkHW12x,bo ta bo lan pa,I don't know this word,NA,NA,NA
53,R_ZxHvGVSFQkHW12x,buay steady,1,not steady,NA,NA
54,R_ZxHvGVSFQkHW12x,cert,1,certificate,NA,NA
55,R_ZxHvGVSFQkHW12x,chiong sua,I don't know this word,NA,NA,NA
56,R_ZxHvGVSFQkHW12x,chop chop,1,faster lah,NA,NA
57,R_ZxHvGVSFQkHW12x,chiu kana kah,I don't know this word,NA,NA,NA
58,R_ZxHvGVSFQkHW12x,double confirm,1,very sure,NA,NA
59,R_ZxHvGVSFQkHW12x,encik,1,sir,NA,NA
60,R_ZxHvGVSFQkHW12x,hao lian,3,thick face,want to get attention,show off
61,R_ZxHvGVSFQkHW12x,helication,I don't know this word,NA,NA,NA
62,R_ZxHvGVSFQkHW12x,ini macam,1,this is like,NA,NA
63,R_ZxHvGVSFQkHW12x,jia lat,2,die,did badly in something,NA
64,R_ZxHvGVSFQkHW12x,kae ang moh,I don't know this word,NA,NA,NA
65,R_ZxHvGVSFQkHW12x,kena sai,2,get into trouble,something bad happens,NA
66,R_ZxHvGVSFQkHW12x,liek boh kiew,I don't know this word,NA,NA,NA
67,R_ZxHvGVSFQkHW12x,lombang,I don't know this word,NA,NA,NA
68,R_ZxHvGVSFQkHW12x,macam,1,similar to,NA,NA
69,R_ZxHvGVSFQkHW12x,mang zang,I don't know this word,NA,NA,NA
70,R_ZxHvGVSFQkHW12x,neh neh pok,1,nipples,NA,NA
71,R_ZxHvGVSFQkHW12x,orbi,I don't know this word,NA,NA,NA
72,R_ZxHvGVSFQkHW12x,pang seh,2,dong fie gain,not turning up as promised,NA
73,R_ZxHvGVSFQkHW12x,puki,I don't know this word,NA,NA,NA
74,R_ZxHvGVSFQkHW12x,rabz-kebabz,I don't know this word,NA,NA,NA
75,R_ZxHvGVSFQkHW12x,saman,1,fine,NA,NA
76,R_ZxHvGVSFQkHW12x,shiok,I recognise this word but cannot think of anything,NA,NA,NA
77,R_ZxHvGVSFQkHW12x,sod,1,crazy,NA,NA
78,R_ZxHvGVSFQkHW12x,tak boleh,1,cannot,NA,NA
79,R_ZxHvGVSFQkHW12x,tak boleh tahan,1,cannot stand,NA,NA
80,R_ZxHvGVSFQkHW12x,very the,1,extremely,NA,NA
81,R_ZxHvGVSFQkHW12x,walau,1,to express one's frustration,NA,NA
82,R_ZxHvGVSFQkHW12x,xia suay,2,intemperateness,disgrace,NA
83,R_ZxHvGVSFQkHW12x,zao kng,I don't know this word,NA,NA,NA
84,R_24GK3WyC2uUkmcy,ACBC,1,someone trying to act cool but isn't,NA,NA
85,R_24GK3WyC2uUkmcy,action,1,someone showing off,NA,NA
86,R_24GK3WyC2uUkmcy,agak agak,1,estimate,NA,NA
87,R_24GK3WyC2uUkmcy,agar-ration,1,estimation,NA,NA
88,R_24GK3WyC2uUkmcy,aiyah,1,unfortunate,NA,NA
89,R_24GK3WyC2uUkmcy,atas,2,expensive,high class,NA
90,R_24GK3WyC2uUkmcy,bak kwa,1,barbecued pork,NA,NA
91,R_24GK3WyC2uUkmcy,bo chap,1,indifferent,NA,NA
92,R_24GK3WyC2uUkmcy,bo tao boh beh,I don't know this word,NA,NA,NA
93,R_24GK3WyC2uUkmcy,chao mugger,1,someone who studies very hard,NA,NA
94,R_24GK3WyC2uUkmcy,chim,1,profound,NA,NA
95,R_24GK3WyC2uUkmcy,cockanaathan,1,insult,NA,NA
96,R_24GK3WyC2uUkmcy,da bao,1,takeaway,NA,NA
97,R_24GK3WyC2uUkmcy,gahmen,1,government,NA,NA
98,R_24GK3WyC2uUkmcy,get,I recognise this word but cannot think of anything,NA,NA,NA
99,R_24GK3WyC2uUkmcy,gostan,1,reverse,NA,NA
100,R_24GK3WyC2uUkmcy,guai lan,1,to tease someone,NA,NA
101,R_24GK3WyC2uUkmcy,handphone,1,mobile phone,NA,NA
102,R_24GK3WyC2uUkmcy,jiak,1,eat,NA,NA
103,R_24GK3WyC2uUkmcy,jiak kantang,1,someone who is too westernised,NA,NA
104,R_24GK3WyC2uUkmcy,kaypoh,1,busybody,NA,NA
105,R_24GK3WyC2uUkmcy,kee siao,1,crazy,NA,NA
106,R_24GK3WyC2uUkmcy,kena sai,1,cuss word,NA,NA
107,R_24GK3WyC2uUkmcy,kiam,NA,NA,NA,NA
108,R_24GK3WyC2uUkmcy,kiasu,1,fear of losing out,NA,NA
109,R_24GK3WyC2uUkmcy,leh,I recognise this word but cannot think of anything,NA,NA,NA
110,R_24GK3WyC2uUkmcy,leh chey,1,troublesome,NA,NA
111,R_24GK3WyC2uUkmcy,lun zun,I don't know this word,NA,NA,NA
112,R_24GK3WyC2uUkmcy,makcik,1,Malay aunty,NA,NA
113,R_24GK3WyC2uUkmcy,masak-masak,1,playing,NA,NA
114,R_24GK3WyC2uUkmcy,mug,1,study,NA,NA
115,R_24GK3WyC2uUkmcy,orh hor,1,guilty,NA,NA
116,R_24GK3WyC2uUkmcy,paiseh,2,to say something is embarrassing,to apologise for something,NA
117,R_24GK3WyC2uUkmcy,pak zam,I don't know this word,NA,NA,NA
118,R_24GK3WyC2uUkmcy,rabak,1,describe something negative,NA,NA
119,R_24GK3WyC2uUkmcy,sam seng,I don't know this word,NA,NA,NA
120,R_24GK3WyC2uUkmcy,see first,1,to wait and see,NA,NA
121,R_24GK3WyC2uUkmcy,shame shame,1,embarrassing,NA,NA
122,R_24GK3WyC2uUkmcy,showflat,I don't know this word,NA,NA,NA
123,R_24GK3WyC2uUkmcy,sia,I recognise this word but cannot think of anything,NA,NA,NA
124,R_24GK3WyC2uUkmcy,siam,1,avoid,NA,NA
125,R_24GK3WyC2uUkmcy,simi,1,what,NA,NA
126,R_24GK3WyC2uUkmcy,suay,1,unlucky,NA,NA
127,R_24GK3WyC2uUkmcy,swaku,1,country bumpkin,NA,NA
128,R_24GK3WyC2uUkmcy,tyco,1,to do something by luck,NA,NA
129,R_24GK3WyC2uUkmcy,teh,1,tea,NA,NA
130,R_24GK3WyC2uUkmcy,zai,1,capable,NA,NA
131,R_24GK3WyC2uUkmcy,ulu,1,remote area,NA,NA
132,R_24GK3WyC2uUkmcy,vomit blood,1,frustrating,NA,NA
133,R_24GK3WyC2uUkmcy,wa kao,1,exclamation,NA,NA
134,R_24GK3WyC2uUkmcy,zi siao,I don't know this word,NA,NA,NA
135,R_rfMSH33zzssSGJz,abit,3,a little bit,a bit,few
136,R_rfMSH33zzssSGJz,Ah Beng,1,gangster,NA,NA
137,R_rfMSH33zzssSGJz,ah gua,1,gay,NA,NA
138,R_rfMSH33zzssSGJz,aiyoyo,I recognise this word but cannot think of anything,NA,NA,NA
139,R_rfMSH33zzssSGJz,barang barang,1,random things,NA,NA
140,R_rfMSH33zzssSGJz,boleh,1,yes,NA,NA
141,R_rfMSH33zzssSGJz,botak,1,bald,NA,NA
142,R_rfMSH33zzssSGJz,'cher,1,teacher,NA,NA
143,R_rfMSH33zzssSGJz,chicken business,I don't know this word,NA,NA,NA
144,R_rfMSH33zzssSGJz,cheem,2,deep,confusing,NA
145,R_rfMSH33zzssSGJz,dunnid,1,do not need,NA,NA
146,R_rfMSH33zzssSGJz,hao lian,1,arrogant,NA,NA
147,R_rfMSH33zzssSGJz,ho liao,2,good food,expensive,NA
148,R_rfMSH33zzssSGJz,hong bao,1,red packet,NA,NA
149,R_rfMSH33zzssSGJz,hong gan,I don't know this word,NA,NA,NA
150,R_rfMSH33zzssSGJz,ho seh,1,good happenings,NA,NA
151,R_rfMSH33zzssSGJz,hum ji,1,coward,NA,NA
152,R_rfMSH33zzssSGJz,kae ang moh,1,pretentious,NA,NA
153,R_rfMSH33zzssSGJz,kampung,2,home,village,NA
154,R_rfMSH33zzssSGJz,kiam,1,save,NA,NA
155,R_rfMSH33zzssSGJz,leh chey,2,troublesome,tedious,NA
156,R_rfMSH33zzssSGJz,malu,1,embarrassing,NA,NA
157,R_rfMSH33zzssSGJz,mang zang,I don't know this word,NA,NA,NA
158,R_rfMSH33zzssSGJz,masak-masak,1,toys,NA,NA
159,R_rfMSH33zzssSGJz,mug,1,study really hard,NA,NA
160,R_rfMSH33zzssSGJz,no eye see,I don't know this word,NA,NA,NA
161,R_rfMSH33zzssSGJz,ORD,2,National service,freedom,NA
162,R_rfMSH33zzssSGJz,sakar,I don't know this word,NA,NA,NA
163,R_rfMSH33zzssSGJz,shame shame,1,embarrassing,NA,NA
164,R_rfMSH33zzssSGJz,sian,2,tired,boring,NA
165,R_rfMSH33zzssSGJz,Si mi lan jiao,1,what,NA,NA
166,R_rfMSH33zzssSGJz,tak boleh tahan,1,can't take it,NA,NA
167,R_rfMSH33zzssSGJz,tio,1,got it,NA,NA
168,R_rfMSH33zzssSGJz,towkay,1,boss,NA,NA
169,R_rfMSH33zzssSGJz,wa kao,I recognise this word but cannot think of anything,NA,NA,NA
170,R_rfMSH33zzssSGJz,wah seh,1,wow,NA,NA
171,R_rfMSH33zzssSGJz,white horse,I don't know this word,NA,NA,NA
172,R_3dFjDtbmlkbliqB,Ah Huay,I recognise this word but cannot think of anything,NA,NA,NA
173,R_3dFjDtbmlkbliqB,bak kwa,2,yummy,fattening,NA
174,R_3dFjDtbmlkbliqB,bao toh,I don't know this word,NA,NA,NA
175,R_3dFjDtbmlkbliqB,bodoh,1,dumb,NA,NA
176,R_3dFjDtbmlkbliqB,boleh,I recognise this word but cannot think of anything,NA,NA,NA
177,R_3dFjDtbmlkbliqB,buaya,I don't know this word,NA,NA,NA
178,R_3dFjDtbmlkbliqB,buay pai,1,not bad,NA,NA
179,R_3dFjDtbmlkbliqB,chao,I don't know this word,NA,NA,NA
180,R_3dFjDtbmlkbliqB,chicken business,I don't know this word,NA,NA,NA
181,R_3dFjDtbmlkbliqB,cheem,1,complicated,NA,NA
182,R_3dFjDtbmlkbliqB,chop chop,1,quickly,NA,NA
183,R_3dFjDtbmlkbliqB,du lan,I recognise this word but cannot think of anything,NA,NA,NA
184,R_3dFjDtbmlkbliqB,eeyer,2,disgusting,gross,NA
185,R_3dFjDtbmlkbliqB,handphone,1,iPhone,NA,NA
186,R_3dFjDtbmlkbliqB,ho liao,1,done already,NA,NA
187,R_3dFjDtbmlkbliqB,kee siao,1,crazy,NA,NA
188,R_3dFjDtbmlkbliqB,ki chia,I don't know this word,NA,NA,NA
189,R_3dFjDtbmlkbliqB,kiam pa,2,get scolded,get hit,NA
190,R_3dFjDtbmlkbliqB,koyah,I don't know this word,NA,NA,NA
191,R_3dFjDtbmlkbliqB,lao lan,I don't know this word,NA,NA,NA
192,R_3dFjDtbmlkbliqB,lao sai,1,diarrhoea,NA,NA
193,R_3dFjDtbmlkbliqB,leh chey,2,mafan,extra,NA
194,R_3dFjDtbmlkbliqB,liek boh kiew,I don't know this word,NA,NA,NA
195,R_3dFjDtbmlkbliqB,luan,2,messy,my room,NA
196,R_3dFjDtbmlkbliqB,malu,1,embarrassed,NA,NA
197,R_3dFjDtbmlkbliqB,Obasan,I don't know this word,NA,NA,NA
198,R_3dFjDtbmlkbliqB,obiang,1,old fashion,NA,NA
199,R_3dFjDtbmlkbliqB,orbi,I don't know this word,NA,NA,NA
200,R_3dFjDtbmlkbliqB,ORD,2,Army,POP lo,NA
201,R_3dFjDtbmlkbliqB,photostat,I recognise this word but cannot think of anything,NA,NA,NA
202,R_3dFjDtbmlkbliqB,pon,2,school,work,NA
203,R_3dFjDtbmlkbliqB,rabz,3,partying,drinking,gambling
204,R_3dFjDtbmlkbliqB,Si mi tai dzi,2,what you want,what is wrong,NA
205,R_3dFjDtbmlkbliqB,sor zai,I don't know this word,NA,NA,NA
206,R_3dFjDtbmlkbliqB,suka,1,anyhow,NA,NA
207,R_3dFjDtbmlkbliqB,sui,1,unlucky,NA,NA
208,R_3dFjDtbmlkbliqB,tyco,I recognise this word but cannot think of anything,NA,NA,NA
209,R_3dFjDtbmlkbliqB,tau pok,I recognise this word but cannot think of anything,NA,NA,NA
210,R_3dFjDtbmlkbliqB,towkay,1,boss,NA,NA
211,R_3dFjDtbmlkbliqB,very the,3,super,annoying,kiasu
212,R_3dFjDtbmlkbliqB,your head,1,siao,NA,NA
213,R_1ie7PwepHrmXeWA,Ah Long,1,debt collector,NA,NA
214,R_1ie7PwepHrmXeWA,ah neh,2,slur,Indian,NA
215,R_1ie7PwepHrmXeWA,amacam,I don't know this word,NA,NA,NA
216,R_1ie7PwepHrmXeWA,atas,1,bogie,NA,NA
217,R_1ie7PwepHrmXeWA,bak kwa,1,pork jerky,NA,NA
218,R_1ie7PwepHrmXeWA,bodoh,1,stupid,NA,NA
219,R_1ie7PwepHrmXeWA,bo eng,2,free,aimless,NA
220,R_1ie7PwepHrmXeWA,chicken business,I recognise this word but cannot think of anything,NA,NA,NA
221,R_1ie7PwepHrmXeWA,chop chop,2,quick,speed up,NA
222,R_1ie7PwepHrmXeWA,chiu kana kah,I don't know this word,NA,NA,NA
223,R_1ie7PwepHrmXeWA,chope,1,reserve,NA,NA
224,R_1ie7PwepHrmXeWA,gabra,I don't know this word,NA,NA,NA
225,R_1ie7PwepHrmXeWA,geh geh,1,act smart,NA,NA
226,R_1ie7PwepHrmXeWA,gor chiam tua guay gu chia leng,I don't know this word,NA,NA,NA
227,R_1ie7PwepHrmXeWA,hong bao,1,red packet,NA,NA
228,R_1ie7PwepHrmXeWA,hum ji,I don't know this word,NA,NA,NA
229,R_1ie7PwepHrmXeWA,jiak zua,1,drink water,NA,NA
230,R_1ie7PwepHrmXeWA,kar chng,1,butt,NA,NA
231,R_1ie7PwepHrmXeWA,kayu,1,blur,NA,NA
232,R_1ie7PwepHrmXeWA,kilat,I don't know this word,NA,NA,NA
233,R_1ie7PwepHrmXeWA,leh chey,I recognise this word but cannot think of anything,NA,NA,NA
234,R_1ie7PwepHrmXeWA,limbu,1,my mother,NA,NA
235,R_1ie7PwepHrmXeWA,lobang,1,deals,NA,NA
236,R_1ie7PwepHrmXeWA,macam,2,like,similar to,NA
237,R_1ie7PwepHrmXeWA,mati,1,die,NA,NA
238,R_1ie7PwepHrmXeWA,meh,1,not striking,NA,NA
239,R_1ie7PwepHrmXeWA,ngeow,1,stingy,NA,NA
240,R_1ie7PwepHrmXeWA,oso,1,also,NA,NA
241,R_1ie7PwepHrmXeWA,pai kia,1,rebellious,NA,NA
242,R_1ie7PwepHrmXeWA,pang seh,2,ditch,bail on,NA
243,R_1ie7PwepHrmXeWA,sei,1,drunk,NA,NA
244,R_1ie7PwepHrmXeWA,see first,2,to be confirmed,undecided,NA
245,R_1ie7PwepHrmXeWA,Si mi tai dzi,1,what is the issue,NA,NA
246,R_1ie7PwepHrmXeWA,suay,1,unlucky,NA,NA
247,R_1ie7PwepHrmXeWA,tyco,I don't know this word,NA,NA,NA
248,R_1ie7PwepHrmXeWA,talk cock,1,talking rubbish,NA,NA
249,R_1ie7PwepHrmXeWA,tau pok,1,fried bean curd,NA,NA
250,R_1ie7PwepHrmXeWA,diam,1,keep quiet,NA,NA
251,R_1ie7PwepHrmXeWA,toot,1,noob,NA,NA
252,R_1ie7PwepHrmXeWA,wa(h) lao (eh),1,exclamation,NA,NA
253,R_1ie7PwepHrmXeWA,walau,1,exclamation,NA,NA
254,R_1ie7PwepHrmXeWA,your head,I recognise this word but cannot think of anything,NA,NA,NA
255,R_2PBUUPQHmlCRaC1,4D,1,Lottery,NA,NA
256,R_2PBUUPQHmlCRaC1,ACBC,I don't know this word,NA,NA,NA
257,R_2PBUUPQHmlCRaC1,act blur,1,Pretend not to know,NA,NA
258,R_2PBUUPQHmlCRaC1,Ah Beng,1,Hooligan,NA,NA
259,R_2PBUUPQHmlCRaC1,Ah Seng,I don't know this word,NA,NA,NA
260,R_2PBUUPQHmlCRaC1,ah tiong,I don't know this word,NA,NA,NA
261,R_2PBUUPQHmlCRaC1,ai tzai,I don't know this word,NA,NA,NA
262,R_2PBUUPQHmlCRaC1,ang pow,2,Red packet,Money,NA
263,R_2PBUUPQHmlCRaC1,ar bo,I don't know this word,NA,NA,NA
264,R_2PBUUPQHmlCRaC1,bo ta bo lan pa,I don't know this word,NA,NA,NA
265,R_2PBUUPQHmlCRaC1,bo tao boh beh,I don't know this word,NA,NA,NA
266,R_2PBUUPQHmlCRaC1,chee ko pek,I don't know this word,NA,NA,NA
267,R_2PBUUPQHmlCRaC1,chim,1,Tough,NA,NA
268,R_2PBUUPQHmlCRaC1,don't play play,1,Be serious,NA,NA
269,R_2PBUUPQHmlCRaC1,double confirm,2,Check again,Make sure its correct,NA
270,R_2PBUUPQHmlCRaC1,get,1,Obtain,NA,NA
271,R_2PBUUPQHmlCRaC1,gone-case,1,Cannot be savage,NA,NA
272,R_2PBUUPQHmlCRaC1,handphone,1,Mobile phone,NA,NA
273,R_2PBUUPQHmlCRaC1,hao lian,1,Show off,NA,NA
274,R_2PBUUPQHmlCRaC1,helication,I don't know this word,NA,NA,NA
275,R_2PBUUPQHmlCRaC1,jiak chao,I don't know this word,NA,NA,NA
276,R_2PBUUPQHmlCRaC1,jio,1,Asking someone out,NA,NA
277,R_2PBUUPQHmlCRaC1,Q143,I don't know this word,NA,NA,NA
278,R_2PBUUPQHmlCRaC1,kiasu,1,Competitive,NA,NA
279,R_2PBUUPQHmlCRaC1,koyah,I don't know this word,NA,NA,NA
280,R_2PBUUPQHmlCRaC1,lah,1,Affirmation,NA,NA
281,R_2PBUUPQHmlCRaC1,lagi,I don't know this word,NA,NA,NA
282,R_2PBUUPQHmlCRaC1,lepak,1,Rest,NA,NA
283,R_2PBUUPQHmlCRaC1,liao,1,Already,NA,NA
284,R_2PBUUPQHmlCRaC1,lombang,1,Free ride,NA,NA
285,R_2PBUUPQHmlCRaC1,mafan,1,Tedious,NA,NA
286,R_2PBUUPQHmlCRaC1,neh neh pok,I don't know this word,NA,NA,NA
287,R_2PBUUPQHmlCRaC1,nia,I recognise this word but cannot think of anything,NA,NA,NA
288,R_2PBUUPQHmlCRaC1,obiang,I don't know this word,NA,NA,NA
289,R_2PBUUPQHmlCRaC1,ownself,1,Yourself,NA,NA
290,R_2PBUUPQHmlCRaC1,pasar malam,1,Bazaar,NA,NA
291,R_2PBUUPQHmlCRaC1,piak piak,I don't know this word,NA,NA,NA
292,R_2PBUUPQHmlCRaC1,rabak,1,Cannot be helped,NA,NA
293,R_2PBUUPQHmlCRaC1,shame shame,1,Embarrassing,NA,NA
294,R_2PBUUPQHmlCRaC1,siam,1,Move away,NA,NA
295,R_2PBUUPQHmlCRaC1,siao,1,Crazy,NA,NA
296,R_2PBUUPQHmlCRaC1,sod,I don't know this word,NA,NA,NA
297,R_2PBUUPQHmlCRaC1,suka,1,Anyhow,NA,NA
298,R_2PBUUPQHmlCRaC1,swee,1,Nice,NA,NA
299,R_2PBUUPQHmlCRaC1,ti ko pek,I don't know this word,NA,NA,NA
300,R_2PBUUPQHmlCRaC1,tuang,I don't know this word,NA,NA,NA
301,R_2PBUUPQHmlCRaC1,ulu,I don't know this word,NA,NA,NA
302,R_2PBUUPQHmlCRaC1,wah seh,1,Express surprise,NA,NA
303,R_2PBUUPQHmlCRaC1,wayang,1,Pretend,NA,NA
304,R_20PbXk6PqJ4ndhe,abuden,1,then,NA,NA
305,R_20PbXk6PqJ4ndhe,ACBC,1,act cool bury cool,NA,NA
306,R_20PbXk6PqJ4ndhe,ah,1,aha,NA,NA
307,R_20PbXk6PqJ4ndhe,ah gua,1,sissy,NA,NA
308,R_20PbXk6PqJ4ndhe,ai swee mai m'niah,I don't know this word,NA,NA,NA
309,R_20PbXk6PqJ4ndhe,ai sui,1,sleepy,NA,NA
310,R_20PbXk6PqJ4ndhe,ai tzai,I recognise this word but cannot think of anything,NA,NA,NA
311,R_20PbXk6PqJ4ndhe,ar bo,1,what,NA,NA
312,R_20PbXk6PqJ4ndhe,bodoh,1,stupid,NA,NA
313,R_20PbXk6PqJ4ndhe,bo pian,1,no choice,NA,NA
314,R_20PbXk6PqJ4ndhe,bo geh,1,no teeth,NA,NA
315,R_20PbXk6PqJ4ndhe,bo jio,1,never include me,NA,NA
316,R_20PbXk6PqJ4ndhe,buay tahan,1,cannot take it,NA,NA
317,R_20PbXk6PqJ4ndhe,cert,1,certificate,NA,NA
318,R_20PbXk6PqJ4ndhe,chao,1,smelly,NA,NA
319,R_20PbXk6PqJ4ndhe,chee ko pek,1,pervert,NA,NA
320,R_20PbXk6PqJ4ndhe,'cher,1,teacher,NA,NA
321,R_20PbXk6PqJ4ndhe,chio bu,1,pretty girl,NA,NA
322,R_20PbXk6PqJ4ndhe,da bao,1,takeaway,NA,NA
323,R_20PbXk6PqJ4ndhe,geh kiang,1,act smart,NA,NA
324,R_20PbXk6PqJ4ndhe,goondu,1,stupid,NA,NA
325,R_20PbXk6PqJ4ndhe,guai lan,1,mischief,NA,NA
326,R_20PbXk6PqJ4ndhe,huat,1,rich,NA,NA
327,R_20PbXk6PqJ4ndhe,jiak,1,eat,NA,NA
328,R_20PbXk6PqJ4ndhe,kae ang moh,I recognise this word but cannot think of anything,NA,NA,NA
329,R_20PbXk6PqJ4ndhe,lao lan,1,old bird,NA,NA
330,R_20PbXk6PqJ4ndhe,limbu,1,mm,NA,NA
331,R_20PbXk6PqJ4ndhe,long zhong,1,all,NA,NA
332,R_20PbXk6PqJ4ndhe,malu,2,disgrace,lanjiao,NA
333,R_20PbXk6PqJ4ndhe,masak-masak,I don't know this word,NA,NA,NA
334,R_20PbXk6PqJ4ndhe,mati,1,die,NA,NA
335,R_20PbXk6PqJ4ndhe,mong cha cha,I don't know this word,NA,NA,NA
336,R_20PbXk6PqJ4ndhe,neh neh pok,I recognise this word but cannot think of anything,NA,NA,NA
337,R_20PbXk6PqJ4ndhe,pak zam,I don't know this word,NA,NA,NA
338,R_20PbXk6PqJ4ndhe,pak tor,1,date,NA,NA
339,R_20PbXk6PqJ4ndhe,rabz-kebabz,1,no good,NA,NA
340,R_20PbXk6PqJ4ndhe,sam seng,I don't know this word,NA,NA,NA
341,R_20PbXk6PqJ4ndhe,sei,1,ups,NA,NA
342,R_20PbXk6PqJ4ndhe,showflat,1,house,NA,NA
343,R_20PbXk6PqJ4ndhe,sian,I recognise this word but cannot think of anything,NA,NA,NA
344,R_20PbXk6PqJ4ndhe,siao,1,crazy,NA,NA
345,R_20PbXk6PqJ4ndhe,simi,1,what,NA,NA
346,R_20PbXk6PqJ4ndhe,swee,1,nice,NA,NA
347,R_20PbXk6PqJ4ndhe,tahan,1,tolerate,NA,NA
348,R_20PbXk6PqJ4ndhe,towkay,1,rich boss,NA,NA
349,R_20PbXk6PqJ4ndhe,walau,1,what the heck,NA,NA
350,R_20PbXk6PqJ4ndhe,wa kao,1,what the heck,NA,NA
351,R_20PbXk6PqJ4ndhe,white horse,1,rare elite,NA,NA
352,R_20PbXk6PqJ4ndhe,xia suay,I don't know this word,NA,NA,NA
353,R_20PbXk6PqJ4ndhe,yandao,1,handsome,NA,NA
354,R_27wFPSV2YsqgoJn,Ah Long,2,loan shark,debt collector,NA
355,R_27wFPSV2YsqgoJn,ai see,1,I see,NA,NA
356,R_27wFPSV2YsqgoJn,an zhua?,1,what,NA,NA
357,R_27wFPSV2YsqgoJn,bodoh,1,dumb,NA,NA
358,R_27wFPSV2YsqgoJn,bo pian,1,helpless,NA,NA
359,R_27wFPSV2YsqgoJn,bo chap,1,don't care,NA,NA
360,R_27wFPSV2YsqgoJn,bo tao boh beh,1,no head no tail,NA,NA
361,R_27wFPSV2YsqgoJn,buay pai,1,not bad,NA,NA
362,R_27wFPSV2YsqgoJn,buay tahan,1,cannot stand it,NA,NA
363,R_27wFPSV2YsqgoJn,chao geng,I recognise this word but cannot think of anything,NA,NA,NA
